Company,Founded,City,Domain,Description,Founders,Investors,Amount,Stage
Acko,2016,Mumbai,Healthcare,"['insurance', 'Acko', 'digital', 'company', 'license']","Varun Dua, Ruchi Deepak",Multiples,458000000,Undisclosed
Actyv.ai,2019,Bengaluru,Computer Software,"['Large', 'enterprises', 'Actyv.ai', 'transform', 'supply']","Raghunath Subramanian, Raghu Venkat, Ramkumar Thirumurthi",1Digi Investment management,5000000,Pre-series A
Adda247,2016,Gurugram,E-Learning,"['multilingual', 'edtech', 'platform', 'provides', '360']","Anil Nagar, Saurabh Bansal",WestBridge Capital,20000000,Series B
Addverb Technologies,2016,Noida,Industrial Automation,"['Addverb', 'global', 'robotics', 'company', 'based']","Sangeet Kumar, Prateek Jain, Bir Singh, Satish Kumar Shukla, Amit Kumar",Reliance,132000000,Undisclosed
Adicube,2019,Bengaluru,Marketing & Advertising,"['influencer', 'marketing', 'platform']",Sreetam Panda,Pitcherlabs Ventures,1600000,Pre-seed
AdmitKard,2016,Noida,EdTech,"['end', 'tech', 'solution', 'career', 'advisory']",Rachit Agrawal,"Vamsi Krishna, Pulkit Jain, Gaurav Munjal	#REF!",1000000,Pre-series A
Advantage Club,2014,Mumbai,Human Resources,"['employee', 'end', 'Advantage', 'Club', 'India']","Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000,Undisclosed
Advantage Club,2014,Gurugram,Human Resources,"['Advantage', 'Club', 'India', 'largest', 'employee']",Sourabh Deorah,"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah",3300000,Pre-series A
Aerchain,2019,Bengaluru,Computer Software,"['Advance', 'Source', 'Pay', 'cycle', 'new']","Harsha Kadimisetty, Himavanth Jasti","Season Two Ventures, IndiaMart",3000000,Pre-series A
Aerostrovilos Energy,2017,Chennai,Machinery,"['Aerostrovilos', 'IIT', 'Madras', 'based', 'startup']","Rohit Grover, Pradeep Thangappan","Tube Investment of India, Murugappa Group Company",400000,Seed
AgNext,2016,Chandigarh,AgriTech,"['AgNext', 'fast', 'growing', 'AgTech', 'company']",Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000,Series A
Agnikul,2017,Chennai,SpaceTech,"['Agnikul', 'space', 'tech', 'startup', 'designs']","Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran","Artha India Ventures, Sriram Krishnan",11000000,Series A
AGRIM,2020,Gurugram,AgriTech,"['B2B', 'Agri', 'Input', 'e', 'commerce']","Avi Jain, Mukul Garg",Kalaari Capital,10000000,Series A
AgroStar,2013,Pune,AgriTech,"['AgroStar', 'India', 'foremost', 'AgTech', 'start']","Shardul, Sitanshu Sheth","Evolvence, Hero Enterprise",70000000,Series D
Airblack,2019,Gurugram,Information Technology,"['Airblack', 'mission', 'help', 'people', 'convert']","Videt Jaiswal, Vaibhav Raj Gupta","Edge Ventures, Elevation Capital",5200000,Series A
AjnaLens,2014,Thane,AR startup,"['AjnaLens', 'presents', 'comfortable', 'immersive', 'mixed']","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Let's Venture Angel Fund, JITO Angel Network",1500000,Undisclosed
Akudo,2020,Bengaluru,FinTech,"['Learning', 'Neobank', 'teenagers', 'Enable', 'practical']","Lavika Aggarwal, Sajal Khanna, Jgaveer Gandhi","Y Combinator, JAFCO Asia, Incubate Fund India, marquee angels",4200000,Seed
AlgoBulls,2019,Mumbai,FinTech,"['Algorithmic', 'trading', 'platform']","Pushpak Dagade, Suraj Bathija",. Sharath Kumar and Yuvraj A. Thakker,2500000,Seed
Allegis Group,1983,Maryland,Human Resources,"['Global', 'Network', 'Staffing', 'Services']","Jim C. Davis, Stephen Bisciotti",Vouch Insurance,60000000,Series C
AlmaBetter,2020,Bengaluru,EdTech,"['AlmaBetter', 'provides', 'risk', 'free', 'education']",Shivam Dutta,Varun Alagh and Rajesh Yabaji,2160000,Seed
Alpha Coach,2021,Mumbai,Health & Fitness,"['Personal', 'Fitness', 'Coaching']",Ketan Mavinkurve,Jani Ventures INC,1200000,Undisclosed
AltUni,2013,Mumbai,Education Management,"['Community', 'based', 'alternative', 'digital', 'university']",Ankit Doshi,"Amit Gupta, Mukesh Maniar, Rahul Gupta, Gautam Gurnani",500000,Undisclosed
ALYF,2022,Mumbai,Real Estate,"['ALYF', 'owns', 'hassle', 'free', 'legal']",Saurav Vohara,9Unicorns Accelerator Fund and Venture Catalysts,112500000,Seed
Amagi,2008,Bengaluru,Broadcasting,"['Amagi', 'world', 'leading', 'cloud', 'managed']","KA Srinivasan, Srividhya Srinivasan, Baskar Subramanian","Accel, Norwest, Avataar",95000000,Undisclosed
Amagi Media Labs,2008,New York,Media and Entertainment,"['Amagi', 'Media', 'Labs', 'tech', 'media']","Baskar Subramanian, Srinivasan KA, Srividhya Srinivasan",Avataar Venture partners,2402,undisclosed
Amikus AI,2021,Bengaluru,Artificial Intelligence,"['AI', 'Amikus', 'powered', 'platform']",Avi Agarwal,Inflection Point Ventures and Entrepreneur First,11650000,SEED
AMPM,2018,Gurugram,E-Commerce,"['24', '7', 'convenience', 'store']",Shubham Gupta,Agility Venture Partners,200000,Undisclosed
Anar,2019,Mumbai,Information Technology,"['Anar', 'Business', 'Community', 'App', 'platform']","Nishank Jain, Sanjay Bhat","Elevation Capital, Accel India",6200000,Seed
AnKa SumMor,2017,Bengaluru,Sales,"['AnKa', 'SumMor', 'service', 'allows', 'businesses']","Rajiv Joshi, Ashok George",Inflection Point Ventures,1000000,Pre-Series A
Annapurna Finance,2009,Bhubhaneswar,FinTech,"['Annapurna', 'Microfinance', 'microfinance', 'venture', 'works']",Gobinda Chandra Pattnaik,"Asian Development Bank, Oman India Joint Investment Fund",30000000,Undisclosed
Annapurna Finance,2019,Bhubhaneshwar,FinTech,"['Annapurna', 'Finance', 'microfinance', 'venture', 'firm']",Gobinda Chandra Patnaik,Proparco and Encourage Capital,163500000,Series A
ANS Commerce,2017,Gurugram,E-Commerce,"['ANS', 'Commerce', 'India', '1', 'stack']","Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",2200000,Pre-Series A
ANSR,2008,Bengaluru,Consulting,"['end', 'ANSR', 'Consulting', 'providing', 'services']",Lalit Ahuja,"Sistema Asia Capital, Evolvence India Fund",15000000,Series B
AntWalk,2019,Bengaluru,E-Learning,"['AntWalk', 'B2B', 'Ed', 'Tech', 'platform']","Basav Nagur, Joybroto Ganguly, Sriramkumar Sundararaman, Sudhanshu Shekhar, Sumit Gupta",Y Combinator and Matrix Partners India,8800000,series A
Anveshan,2019,Bengaluru,Food & Beverages,"['Anveshan', 'provides', 'high', 'quality', 'natural']","Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Amit Hooja and Force Ventures,25000000,Seed
Anveshan,2019,Bengaluru,Food & Beverages,"['food', 'Revolutionizing', 'industry', 'technology', 'providing']","Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital",500000,Seed
Anveya Living,2018,Bengaluru,Consumer Goods,"['Anveya', 'building', 'powerful', 'brands', 'create']","Vivek Singh, Saurav Patnaik",Rukam Capital,1000000,Seed
Apna,2019,Bengaluru,Recruitment,"['India', 'Professional', 'App', 'Apna', 'dedicated']",Nirmit Parikh,"Sequoia Capital India, rocketship.vc",70000000,Series B
Apna,2019,Bengaluru,Recruitment,"['India', 'largest', 'professional', 'networking', 'job']",Nirmit Parikh,Tiger Global,100000000,Series C
ApnaKlub,2020,Bengaluru,Wholesale,"['ApnaKlub', 'digitizing', 'organizing', 'FMCG', 'procurement']","Manish Kumar, Shruti Shruti",Tiger Global Management and Google for Startups,13300000,Undisclosed
Apnaklub,2020,Bengaluru,Wholesale,"['Apnaklub', 'India', 'trusted', 'wholesale', 'platform']","Shruti, Manish Kumar",Sequoia Surge,3500000,Seed
AppsForBharat,2020,Bengaluru,Information Technology,"['AppsForBharat', 'develops', 'range', 'mobile', 'apps']",Prashant Sachan,Mirae Asset Global Investments and MSA Novo,237,Undisclosed
AppsForBharat,2020,Bengaluru,Information Technology,"['mission', 'assist', 'billion', 'Indians', 'spiritual']",Prashant Sachan,Elevation Capital,10000000,Series A
AppsForBharat,2020,Bengaluru,Information Technology,"['mission', 'assist', 'billion', 'Indians', 'spiritual']",Prashant Sachan,"Sequoia Capital India, BEENEXT",4000000,Seed
AppX,2020,New Delhi,Technology,"['Enables', 'creators', 'run', 'online', 'businesses']","Sameer Sadana, Anuj Gupta",Y Combinator,1300000,Undisclosed
Aqgromalin,2020,Chennai,AgriTech,"['Aqgormalin', 'tech', 'driven', 'farm', 'diversification']","Bharani CL, Prasanna Manogaran","Sequoia Capital India, Omnivore",5000000,Pre-series A
Aqgromalin,2020,Chennai,AgriTech,"['Aqgormalin', 'tech', 'driven', 'farm', 'diversification']","Prasanna Manogaran, Bharani CL",Zephyr Peacock,700000,Seed
Aquaconnect,2017,Chennai,Fishery,"['South', 'Asia', 'pioneer', 'stack', 'aquaculture']",Rajamanohar Somasundaram,Trifecta Capital,7000000,Undisclosed
Aquaconnect,2017,Chennai,Fishery,"['Aquaconnect', 'global', 'stack', 'aquaculture', 'technology']",Rajamanohar Somasundaram,"Rebright Partners, Flourish Ventures",4000000,Pre-series A
Arcana,2019,Bengaluru,Information Technology,"['Privacy', 'Arcana', 'offers', 'Stack', 'SDK']","Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary","Republic Crypto, Woodstock, DCG, Sahil Lavingia",2300000,Undisclosed
Arcana,2019,Bengaluru,Information Technology,"['Arcana', 'Storage', 'Layer', 'Ethereum']","Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary",Balaji Srinivasan,370000,Seed
Arrivae,2017,Mumbai,Furniture,"['Arrivae', 'interior', 'designing', 'startu']",Yash Kela,"Think Investments, Havells",9000000,Series B
Arth,2015,Lucknow,Financing,"['Arth', 'financing', 'company', 'provides', 'loans']",Shweta Aprameya,MIT Alumni Angels and KFW DEG,2500000,Seed
Arthya Wealth and Investments,2020,Mumbai,FinTech,"['comprehensive', 'high', 'quality', 'open', 'architecture']",Gaurav Arora,"Rishi Kumar Bagla, Krishen Lal Khanna",1000000,Pre-series A
Artium Academy,2020,Mumbai,Music,"['Artium', 'Academy', 'Online', 'Music', 'Education']","Ashish Joshi, Nithya Sudhir",Chiratae Ventures and Piyush Shah,3800000,Seed
Artium Academy,2021,Mumbai,Music,"['Artium', 'Academy', 'Online', 'Music', 'Education']","Ashish Joshi, Nithya Sudhir","Sonu Nigam, Whiteboard Capital",750000,Seed
Arya.Ag,2013,Noida,AgriTech,"['Arya.ag', 'grain', 'commerce', 'platform', 'connects']","Prasanna Rao, Anand Chandra, and Chattanathan Devaraja","Asia Impact SA, Lightrock India, Quona Capital",60000000,Series C
Asirvad Microfinance,2007,Chennai,FinTech,"['Asirvad', 'Microfinance', 'provides', 'microfinance', 'loans']",Raja Vaidyanathan,"WorldBusiness Capital, Northern Arc",15000000,Undisclosed
Aspada,2011,Bengaluru,FinTech,"['Garuda', 'Aerospace', 'focuses', 'design', 'building']","Kartik Srivatsa, Thomas Hyland",SONG Fund,1700000,Seed
ASQI Advisors,2019,Mumbai,FinTech,"['Bringing', 'Blockchain', 'technology', 'intro', 'mainstream']",Swapnil Pawar,Founders Room Capital,1000000,Pre-series A
AssetPlus,2016,Chennai,FinTech,"['AssetPlus', 'focuses', 'offering', 'digital', 'solutions']","Vishranth Suresh, Awanish Raj",Kedar Kulkarni and Nithin Kamath,28000000,Series A
Assidus Global,2018,Wilmington,E-Commerce,"['Assiduus', 'Global', 'service', 'E', 'Commerce']",Somdutt Singh,"Isthara offers shared-living accommodations as well as a variety of facilities, to working professionals and students",1700000,SeriesA
Ati Motors,2017,Bengaluru,Automotive,"['Autonomous', 'industrial', 'vehicle', 'maker']","Saurabh Chandra, Saad Nasser","Blume Ventures, Exfinity Venture Partners",35000000,Pre-series A
Atomberg,2012,Mumbai,Consumer Electronics,"['technology', 'Atomberg', 'built', 'Brushless', 'DC']","Manoj, Sibabrata Das",Jungle Ventures,20000000,Undisclosed
Aulerth,2021,Gurugram,Jewellery,"['Aulerth', 'bridging', 'gap', 'worlds', 'creating']",Vivek Ramabhadran,"Tarun Tahilian, M Venture Partners",1100000,Seed
Auntie Fung,2015,Bengaluru,Food & Beverages,"['Serving', 'delectable', 'eclectic', 'pan', 'Asian']","Satrajit Das, Subhradeep Bhowmik",India Angel Network,400000,Undisclosed
Auric,2017,New Delhi,Healthcare,"['Contemporary', 'Beauty', 'Wellness', 'Brand', 'Based']",Deepak Agarwal,Venture Catalysts,2000000,Pre-series A
Autify Networks,2016,San Francisco,Software,"['Autify', 'software', 'testing', 'automation', 'platform']","Ryo Chikazawa, Sam Yamashita",Salesforce Ventures and Tably,13000000,Series A
AutomataPi,2017,Powai ,Automation,"['AutomataPi', 'generation', 'cognitive', 'business', 'process']","Devesh Rao, Manjeet Khopkar, Rahul Hattangdi",Indian Angel Network,400000,Seed
Automovil,2015,Bengaluru,Automotive,"['services', 'Automovill', 'provider', 'automotive', 'car']","Chinmay Baruah, Mridu Mahendra Das, Ramana Sambu",Inflection Point Ventures and Santosh Chandra,100000,Seed
Automovill,2015,Bengaluru,Automotive,"['automobile', 'service', 'providers', 'Automovill', 'unique']","Mridu Mahendra Das, Chinmay Baruah",Mumbai Angels Network,500000,Undisclosed
AutoNxtAutomation,2016,Thane,Automation,"['AutoNxt', 'Automation', 'world', 'electric', 'autonomous']",Kaustubh Dhunde,Virya Mobility 5.0 and Keiretsu Forum,100000,Seed
Avail Finance,2017,Bengaluru,FinTech,"['Avail', 'mobile', 'platform', 'aiming', 'financially']","Ankush Aggarwal, Tushar Mehndiratta","Alteria Capital, Matrix Partners India",3000000,Debt
Avanti Finance,2016,Bengaluru,FinTech,"['Avanti', 'Finance', 'lends', 'relatively', 'large']","Ratan Tata, Nandan Nilekani, Vijay Kelkar",Michael & Susan Dell Foundation,26000000,Series A
Avanti Finance,2017,Bengaluru,FinTech,"['digital', 'platform', 'financial', 'services', 'accessible']","Ratan Tata, Nandan Nilekani, Vijay Kelkar","Oikocredit, Nomura, The Bill & Melinda Gates Foundation",15000000,Series A2
Avataar,2014,Bengaluru,Artificial Intelligence,"['Avataar', '3D', 'AI', 'company', 'helps']","Prashanth Aluru, Sravanth Aluru, Gaurav Baid, Mayank Tiwari","Tiger Global, Sequoia Capital India",45000000,Series B
Aviom Housing Finance,2016,New Delhi,FinTech,"['AVIOM', 'India', 'Affordable', 'Housing', 'Finance']",Kajal Ilmi,Gojo & Company,1000000,Debt
Aviom India,2016,New Delhi,FinTech,"['AVIOM', 'India', 'Housing', 'Finance', 'Pvt']",Kajal Ilmi,Sabre Partners,8000000,Series C
Avishkaar,2014,New Delhi,EdTech,"['India', 'leading', 'Ed', 'Tech', 'startup']","Rajeev Gaba, Tarun Bhalla",Auxano,600000,Pre-series A
Awign,2016,Bengaluru,E-Commerce,"['Awign', 'work', 'fulfillment', 'platform', 'specializes']","Annanya Sarthak, Gurpreet Singh, Praveen Sah",Amicus Capital Partners and Michael & Susan Dell Foundation,20500000,series B
Awon GameZ,2020,Noida,Gaming,"['online', 'platform', 'developers', 'host', 'games']",Amardeep Bajpai,Aditya Duggar,2000000,Seed
Aye Finance,2014,Gurugram,FinTech,"['Aye', 'Finance', 'new', 'age', 'finance']","Vikram Jetley, Sanjay Sharma","Triple Jump, Northern Arc",9000000,Undisclosed
Ayu Health,2019,Bengaluru,Healthcare,"['high', 'quality', 'Ayu', 'Health', 'network']","Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners",6300000,Series A
Bambinos,2020,Bengaluru,EdTech,"['Cohort', 'based', 'extracurricular', 'course', 'kids']","Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",500000,Seed
Bambrew,2018,Bengaluru,Environment,"['Empowering', 'Sustainability', 'Eradicating', 'Single', 'Use']",Vaibhav Anant,"Blue Ashva Capital, Supack Industries",0,Undisclosed
Bandhoo,2020,Gurugram,Information Technology,"['Bringing', 'ease', 'eCommerce', 'Construction', 'builders']","Prashant Gupta, Sridhar Sundaram",Unitus Ventures,1000000,Undisclosed
BankSathi,2019,New Delhi,FinTech,"['Bank', 'Sathi', 'provides', 'loans', 'insurance']",Jitendra Dhaka,"Dinesh Godara, Aditya Talwar",200000,Seed
BankSathi,2020,New Delhi,FinTech,"['BankSathi', 'Fintech', 'platform', 'empower', 'consumers']",Jitendra Dhaka,"Dinesh Godara, Anuj Ahuja, Aditya",500000,Undisclosed
BASIC Home Loan,2020,Gurugram,FinTech,"['BASIC', 'Home', 'Loan', 'India', 'automated']","Atul Monga, Kalyan Josyula","Venture Catalysts, Gruhas Proptech",3500000,Series A
Battery Smart,2019,New Delhi,Environment,"['Battery', 'Smart', 'building', 'India', 'largest']","Pulkit Khurana, Siddharth Sikka","Blume Ventures, Orios Ventures",7000000,Pre-series A
BeatO,2015,New Delhi,Healthcare,"['ULTIMATE', 'app', 'manage', 'chronic', 'conditions']","Abhishek Kumar, Gautam Chopra, Kunal Kinalekar, Yash Sehgal",W Health Ventures,5000000,Pre-series B
BeatO,2015,New Delhi,Healthcare,"['BeatO', 'developer', 'health', 'monitoring', 'application']","Abhishek Kumar, Gautam Chopra, Kunal Kinalekar, Yash Sehgal",. Orios Venture Partners and Flipkart Ventures,47400000,SeriesB
Beatoven AI,2021,Bengaluru,Computer Software,"['music', 'Beatoven', 'AI', 'simplified', 'creator']","Mansoor Rahimat Khan, Siddharth Bhardwaj",Redstart Labs,1000000,Seed
Bebe Burp,2018,Surat,Food & Beverages,"['Bebe', 'Burp', 'company', 'core', 'values']","Shruti Tibrewal, Bharat Tibrewal, Chirag Gupta","Mapro Foods, Ivy Growth Associates, Shreeji Brothers, Dholakia Ventures",280000,Seed
Beco,2018,Mumbai,Consumer Goods,"['Eco', 'friendly', 'home', 'kitchen', 'care']","Aditya Ruia, Akshay Varma, Anuj Ruia",Climate Angels Fund,500000,Seed
BeepKart,2020,Bengaluru,Automotive,"['BeepKart', 'building', 'platform', 'digitize', 'organize']","Hemir Doshi, Abhishek Saraf","Stellaris Venture Partners, Chiratae Ventures",3000000,Seed
Beldara,2018,Mumbai,E-Commerce,"['BELDARA.COM', 'GLOBAL', 'B2B', 'marketplace', 'enables']",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000,Undisclosed
Bella Vita Organic,2018,Gurugram,Healthcare,"['beauty', 'Bella', 'Vita', 'Organic', 'Good']",Aakash Anand,Ananta Capital,10000000,Undisclosed
Bellatrix Aerospace,2015,Coimbatore,Aerospace,"['Bellatrix', 'Aerospace', 'Indian', 'space', 'R&D']","Rohan M Ganapathy, Yashas Karanam",Survam Partners and Inflexor Ventures,1100000,Series A
Better Beauty,2022,New Delhi,Beauty,"['biocompatible', 'Better', 'Beauty', 'committed', 'delivering']",Anita Hassanandani,Lotus Herbals,200000,Undisclosed
Better Opinions,2021,Gurugram,FinTech,"['Better', 'Opinions', 'trading', 'platform']",Samay Jain,"Java Capital, Soma Capital",1000000,Seed
Better Opinions,2021,Gurugram,FinTech,"['Better', 'Opinions', 'stock', 'market', 'opinions']",Betteropinions Media Private Limited,Tremis Capital and Goodwater Capital,27500000,Seed
Betterhalf.ai,2016,Bengaluru,Matrimony,"['K', 'India', 'matrimony', 'app', 'parents']","Rahul Namdev, Pawan Gupta","Y Combinator, Rehan A Khan",3000000,Pre-series A
BetterPlace,2014,Bengaluru,Information Technology,"['BetterPlace', 'India', 'largest', 'technology', 'platform']",Pravin Agarwala,"Jungle Ventures, CX Partners",24000000,Series C
Bewakoof,2011,Mumbai,D2C ,"['Society', 'perceives', 'Bewakoof', 'stupid', 'society']",Prabhkiran Singh,"IvyCap Ventures, Pratithi Investment Trust",4000000,Undisclosed
Bewakoof,2012,Mumbai,Apparel & Fashion,"['fashion', 'Bewakoof', 'lifestyle', 'brand', 'makes']",Prabhkiran Singh,InvestCorp,8000000,Undisclosed
BeyondSkool,2020,Mumbai,EdTech,"['BeyondSkool', 'live', 'upskilling', 'platform', 'kids']",Payal Gaba,Tomorrow Capital,2000000,Seed
Bhanzu,2020,Hyderabad,EdTech,"['math', 'Bhanzu', 'learning', 'platform', 'encourages']","Krishnakanth JSS, Neelakantha Bhanu Prakash, Prachotan DL, Srinivas Jonnalagadda, Uday Kiran",Lightspeed Venture Partners and Eight Roads Ventures,1300000,SeriesA
Bhanzu,2020,Hyderabad,Education Management,"['math', 'Bhanzu', 'aims', 'inculcate', 'love']","Krishnakanth JSS, Neelakantha Bhanu Prakash, Prachotan DL, Srinivas Jonnalagadda, Uday Kiran","Nitin Gupta, Maninder Gulati",2000000,Seed
BharatAgri,2017,Bengaluru,AgriTech,"['Provide', 'personalized', 'farm', 'solution', 'farmers']","Sai Gole, Siddharth Dialani","Omnivore, India Quotient",6500000,Series A
BharatPe,2018,New Delhi,FinTech,"['BharatPe', 'develops', 'QR', 'code', 'based']","Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",10000000,Debt
BharatPe,2018,New Delhi,FinTech,"['BharatPe', 'financial', 'services', 'platform', 'processes']","Ashneer Grover, Bhavik Koladiya",Multiples,700500000,Undisclosed
BharatPe,2018,New Delhi,FinTech,"['UPI', 'payment', 'service', 'BharatPe', 'launched']","Ashneer Grover, Shashvat Nakrani",MAS Financial Services,10000000,Undisclosed
BharatPe,2018,New Delhi,FinTech,"['BharatPe', 'develops', 'QR', 'code', 'based']","Ashneer Grover, Shashvat Nakrani","Amplo, Insight Partners",100000000,Series D
BharatPe,2018,New Delhi,FinTech,"['BharatPe', 'develops', 'QR', 'code', 'based']","Ashneer Grover, Shashvat Nakrani","InnoVen Capital, Steadview Capital",6000000,Debt
BharatPe,2018,New Delhi,FinTech,"['BharatPe', 'develops', 'QR', 'code', 'based']","Ashneer Grover, Shashvat Nakrani","Steadview Capital, Insight Partners",8200000,Debt
BharatPe,2018,New Delhi,FinTech,"['BharatPe', 'definitive', 'platform', 'financial', 'services']","Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani","Amplo, Insight Partners",6000000,Debt
BharatPe,2018,New Delhi,FinTech,"['UPI', 'payment', 'service', 'BharatPe', 'launched']","Ashneer Grover, Shashvat Nakrani",Tiger Global,370000000,Series E
BharatPe,2018,New Delhi,FinTech,"['vision', 'financial', 'inclusion', 'reality', 'Indian']","Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital",20000000,Debt
BharatX,2019,Bengaluru,FinTech,"['Credit', 'BharatX', 'Embedded', 'Consumer', 'company']","Eeshan Sharma, Mehul Nath Jindal, Shyam Murugan, Siddharth Venu",Ankur Aggarwal and Vikas Choudhury,4800000,Seed
BHyve,2020,Mumbai,Human Resources,"['Future', 'Work', 'Platform', 'diffusing', 'Employee']","Omkar Pandharkame, Ketaki Ogale", ITO Angel Network LetsVenture ,300000,Undisclosed
Biconomy,2019,New Delhi,Blockchain,"['Biconomy', 'technology', 'company', 'building', 'transaction']","Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Binance Labs, Zee Prime Capital",1500000,Seed
Biconomy,2019,New Delhi,Blockchain,"['Developer', 'platform', 'enable', 'simplified', 'transaction']","Ahmed Al-Balaghi, Aniket Jindal, Sachin Tomar","Mechanism Capital, DACM",9000000,Undisclosed
Biddano,2016,Pune,Healthcare,"['India', 'tech', 'enabled', 'healthcare', 'logistics']","Talha Shaikh, Ashok Yadav","Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList",2000000,Pre-series A1
Biggies Burger,2011,Bengaluru,Food &Beverages,"['Biggies', 'Burger', 'domestic', 'burger', 'brand']",Biraja Prasad Rout,LetsVenture and Indian Angel Network,5500000,Seed
BigLeap,2015,Hyderabad,Recruitment,"['BigLeap', 'Technologies', 'Solutions', 'focused', 'providing']","Jamesh Johnson, Sainath Malkapuram Goud",Anup Kumar Yama,600000,Undisclosed
Bijnis,2015,New Delhi,B2B E-commerce,"['Bijnis', 'revolutionizing', 'way', 'manufacturers', 'operate']","Siddharth, Chaitanya Rathi, Siddharth Rastogi, Shubham Agarwal",Westbridge Capital,30000000,Series B
